Paddock,Channel,Section,CPTu,PiezometerID,SNumber,Logger,certificate_date,G,Tk,CF,A,B,C,R0,Tm,S0,IB_ReadingB,IB_ Temp_C,IB_Barometer_mbar,Comentarios
CDIII,3,1,CPT18-02,VW 3,53946,1815,12/23/2015,0.15105,,,4.69E-07,-0.1557775,923.6046668,6038.7,24,1013,,,,
CDIII,2,1,CPT18-02,VW 4,53967,1815,12/23/2015,0.16428,,,1.19E-07,-0.1654796,983.2770031,5967.6,22,1020,,,,
CDIII,1,1,CPT18-02,VW 5,54005,1815,12/23/2015,0.14923,,,-1.70E-07,-0.147522,894.6252,6023.1,22,978,,,,
CDIII,4,2,CPT15-04,VW 8,53966,1821,12/23/2015,0.15286,,,-3.14E-07,-0.1497926,891.4667712,5879,22,1020,,,,
CDIII,3,2,CPT15-04,VW 9,54011,1821,12/23/2015,0.15431,,,-5.42E-07,-0.1487035,933.6894342,6141.4,22,978,,,,
CDIII,1,2,CPT15-03,VW 7,54017,1821,12/23/2015,0.15641,,,-3.22E-07,-0.1530774,952.3177678,6141.9,22,981,,,,
CDIII,2,2,CPT15-03,VW 6,54018,1821,12/23/2015,0.15587,,,-5.44E-07,-0.1500883,964.3816209,6282.4,22,981,,,,
CDIII,2,2,CPT18-03,VW-CD3-02,1833512,10317,9/20/2018,-0.2686,-0.02395,,-1.14E-09,-0.0002526,2.340463904,8908,22.8,993.9,8928.6,18,,
CDIII,1,2,CPT18-03,VW-CD3-01,1833516,10317,9/20/2018,-0.2602,-0.07079,,-9.86E-10,-0.0002463,2.288621309,8970,23.8,993.9,8989.2,20.4,,
CDIII,1,2,CPT18-04,VW-CD3-03,1833525,16629,9/20/2018,-0.2696,-0.05538,,-1.09E-09,-0.0002542,2.344851945,8885,25.1,993.9,8905.4,18.3,,
CDIII,1,2,CPT18-07,VW-CD3-05,1833529,3060,9/20/2018,-0.2625,-0.0771,,-9.81E-10,-0.0002482,2.374434677,9230,25.6,1003.2,9248.6,17.2,,
CDIII,1,2,CPT18-30,VW-CD3-06,1833531,10230,9/20/2018,-0.2636,-0.002986,,-1.13E-09,-0.0002476,2.317543984,8992,23.6,1003.2,9015,17.5,,
Silt Trap,1,3,CPT15-06,VW 16,53948,1853,12/23/2015,0.15038,,,-4.79E-07,-0.1457782,861.2617133,5797.5,24,1013,,,,
Silt Trap,5,3,CPT15-06,VW 12,53958,1853,12/23/2015,0.1533,,,-1.43E-07,-0.1515419,927.1802484,6083.5,24,1013,,,,
Silt Trap,3,3,CPT15-06,VW 14,53960,1853,12/23/2015,0.1578,,,-6.99E-07,-0.1512432,875.9514971,5644.5,24,1013,,,,
Silt Trap,2,3,CPT15-06,VW 15,53963,1853,12/23/2015,0.18695,,,-6.99E-07,-0.179707,1100.942158,5986.9,22,1020,,,,
Silt Trap,1,3,CPT 5,VW 10,54002,2115,12/23/2015,0.15156,,,-4.20E-07,-0.1472673,913.4325761,6096.5,22,978,,,,
Silt Trap,1,,,VW 10,64916,2115,8/23/2019,,0.19424,0.12431,-1.75E-07,-0.19177,1714.957724,8871,18.5,1015.6,8881.8,32,950.7,New piezometer
Silt Trap,4,3,CPT15-06,VW 13,54004,1853,12/23/2015,0.14732,,,-8.42E-07,-0.1389079,865.7309911,6013.2,22,978,,,,
Silt Trap,2,3,CPT 5,VW 11,54010,2115,12/23/2015,0.14511,,,-3.85E-07,-0.1413166,855.1188737,5954.4,22,978,,,,
Silt Trap,2,,,VW 11,64917,2115,8/23/2019,,0.19374,0.17557,-1.85E-07,-0.1912,1673.712583,8681,18.5,1015.6,8707.2,32.1,950.7,New piezometer
Silt Trap,1,3,CPT18-05,VW-ST-01,1833513,16329,9/20/2018,-0.2711,-0.02523,,-6.01E-10,-0.000263,2.311731805,8620,24.7,993.9,8629.7,18.3,,
Silt Trap,1,3,CPT18-31,VW-ST-08,1833530,3031,9/20/2018,-0.267,-0.07738,,-1.24E-09,-0.0002494,2.333135879,8955,27.9,1003.2,8969,18,,
Silt Trap,1,3,CPT18-36,VW-ST-06,1833532,16761,9/20/2018,-0.2664,-0.1108,,-1.26E-09,-0.0002508,2.107434293,8075,23.6,1003.2,8097.2,18,,
Silt Trap,1,3,CPT18-06,VW-ST-02,1833536,16567,9/20/2018,-0.239,-0.0008285,,-1.01E-09,-0.0002248,2.139046996,9140,23.5,1003.2,9161.5,17,,
Silt Trap,3,4,CPT 7,VW 18,53951,2087,12/23/2015,0.15362,,,-4.84E-07,-0.1486754,922.9214864,6087,24,1013,,,,
Silt Trap,1,4,CPT 8,VW 1,53959,2087,12/23/2015,0.14991,,,2.41E-07,-0.1523303,906.8935082,6010.7,24,1013,,,,
Silt Trap,2,4,CPT 8,VW 19,54003,2087,12/23/2015,0.15146,,,-2.24E-07,-0.1492301,899.2832146,5972.6,22,978,,,,
Silt Trap,4,4,CPT 7,VW17,54012,2087,12/23/2015,0.14266,,,-1.02E-06,-0.1323537,843.4030679,6085.6,22,978,,,,
Silt Trap,4,6-May,"CPT15-10
CPT9-10
",VW 23,53980,1849,12/23/2015,0.168668,,,2.97E-07,-0.1717832,1038.066969,6107.4,22,1020,,,,
Silt Trap,3,6-May,"CPT15-10
CPT9-10
",VW 24,53981,1849,12/23/2015,0.15601,,,4.77E-07,-0.1607645,939.8597204,5951.2,22,1020,,,,
Silt Trap,2,6-May,"CPT15-10
CPT9-10
",VW 21,54008,1849,12/23/2015,0.14975,,,-2.86E-07,-0.146897,888.661019,5979.9,22,978,,,,
Silt Trap,2,,,VW 21,1833510,1849,,,,,,,0,,,,,,,The calibration certificate has not been found
Silt Trap,1,6-May,"CPT15-10
CPT9-10
",VW 22,54009,1849,42361,0.15133,,,9.70E-07,-0.1523029,880.8238515,6013.6,22,978,,,,
Silt Trap,1,,,VW 22,60433,1849,43700,,-0.12902,0.18905,-0.000000317,-0.18454,1677.596138,8953,19.9,1015.2,8688.9,32.2,957.6,New piezometer
Silt Trap,1,6-May,CPT18-06,VW-ST-04,1833514,16752,43363,-0.2681,-0.02079,,-8.99E-10,-0.0002558,2.285626712,8671,24.3,993.9,8693.4,18.5,,
Silt Trap,1,6-May,CPT18-08,VW-ST-03,1833528,16564,43363,-0.2574,-0.0612,,-1.15E-09,-0.0002412,2.256718509,8973,23.7,993.9,8988.2,16.9,,
Silt Trap,4,7-Jun,CPT11-12,VW 28,53949,1817,42361,0.15124,,,-2.16E-07,-0.1490685,904.5185195,6015.4,24,1013,,,,The channel is not specified. 
Silt Trap,3,7-Jun,CPT11-12,VW 27,53954,1817,42361,0.14925,,,5.16E-07,-0.1540972,862.7542228,5707.8,24,1013,,,,The channel is not specified.
Silt Trap,2,7-Jun,CPT11-12,VW-25,54016,1817,42361,0.14831,,,-3.98E-07,-0.1443587,875.7220453,5968,22,978,,,,
Silt Trap,2,,,VW-25,60434,1817,43700,,-0.29119,0.18696,-4.75E-07,-0.18017,1662.653673,9014,19.8,1015.2,9042.5,27.2,947.7,New piezometer
Silt Trap,1,7-Jun,CPT18-11,VW-ST-05,1833515,9852,43363,-0.2718,-0.003307,,-1.06E-09,-0.0002575,2.288909263,8585,25.3,993.9,8594.4,18.5,,
Silt Trap,1,7-Jun,CPT18-12,VW-ST-07,1833526,20618,43363,-0.2633,-0.00473,,-1.39E-07,-0.0362,338.9497628,9048,23.6,993.9,9056.5,16.5,,
Y3,1,9,CPT17-18,VW 42,53945,2137,42361,0.1506,,,2.11E-08,-0.1508018,884.9605811,5873.2,24,1013,,,,
Y3,2,9,CPT17-18,VW 41,53955,2137,42361,0.15515,,,-3.40E-07,-0.1517352,919.8319822,5981.8,24,1013,,,,
Y3,5,9,CPT17-18,VW 38,53964,2137,42361,0.1714,,,3.26E-08,-0.1717251,1011.222579,5895.2,22,1020,,,,
Y3,3,9,CPT17-18,VW 40,53971,2137,42361,0.16851,,,-3.15E-07,-0.1652742,1008.696246,6033.8,22,1020,,,,
Y3,4,9,CPT17-18,VW39,54013,2137,42361,0.14967,,,-8.05E-07,-0.1414865,890.978725,6086.5,22,978,,,,
Y3,3,9,,Y3-3,60431,10262,43700,,0.29673,0.1843,-6.46E-07,-0.17553,1574.861953,8694,19.8,1015.2,8716.1,31.8,957.6,
Y3,4,9,,Y3-4,60432,10262,43700,,0.14097,0.19115,2.70E-08,-0.19151,1632.955068,8537,19.8,1015.2,8564.4,33,957.6,
Y3,1,9,?,Y3-1,60438,10262,43700,,0.085581,0.18112,-5.86E-07,-0.17292,1591.29682,8932,19.9,1015.2,9030.8,31.5,948.1,
Y3,2,9,,Y3-2,60439,10262,43700,,0.056107,0.19347,-2.97E-07,-0.18921,1726.379524,8997,19.9,1015.2,8967,31,948.1,
CROWN,1,10,CPT 20,VW 44,53969,1816,42361,0.16199,,,1.78E-07,-0.1637135,937.9775368,5765.6,22,1020,,,,
CROWN,3,10,CPT 20,VW 43,53970,1816,42361,0.15595,,,-2.95E-08,-0.1556394,973.2920487,6246.1,22,1020,,,,
CROWN,1,10,CPT 18-13,VW-CN-02,1833522,16596,43363,-0.2631,-0.01009,,-1.11E-09,-0.0002474,2.308463616,8969,25.2,993.9,8975.9,17,,
CROWN,1,10,CPT 18-14,VW-CN-03,1833523,16444,43363,-0.2626,-0.04793,,-1.03E-09,-0.0002481,2.299055512,8934,24.3,993.9,8935.8,17,,
CROWN,3,10,CPT 20,VW43,64918,1816,43700,,0.19134,0.19802,1.06E-06,-0.21254,1759.054936,8648,18.6,1015.6,,,,
CROWN,1,11,CPT 21,VW 46,53972,2121,42361,0.15299,,,5.43E-08,-0.1535163,897.3588564,5857.5,22,1020,,,,
CROWN,2,11,CPT 21,VW 45,54007,2121,42361,0.14527,,,-4.66E-07,-0.1405904,868.2757525,6054.4,22,978,,,,
CROWN,2,12,CPT 22,VW 48,53952,2423,42361,0.15921,,,-3.34E-07,-0.1558464,942.5236324,5971.3,24,1013,,,,
CROWN,3,12,CPT 22,VW 47,53956,2423,42361,0.14622,,,6.23E-08,-0.1468195,859.3753177,5867.9,24,1013,,,,
CROWN,1,12,CPT 22,VW 49,53961,2423,42361,0.15952,,,-5.92E-07,-0.153322,969.8386067,6178.1,22,1020,,,,
CROWN,1,13,CPT 23,VW 51,53947,"20892 
(2162) ",42361,0.14459,,,3.49E-08,-0.1449201,836.5171452,5780.3,24,1013,,,,
CROWN,1,13,,VW 51,64914,20892,43700,,0.18392,0.2114,1.58E-07,-0.21356,1805.567675,8508,19.5,1015.6,,,,New piezometer
CROWN,1,13,CPT 23,VW 50,53957,20989,42361,0.14845,,,-1.27E-09,-0.1484363,906.8597757,6109.1,24,1013,,,,
CROWN,1,13,,VW 50,64915,20989,43700,,0.12329,0.19377,-1.13E-07,-0.19219,1700.803313,8804,18.5,1015.6,,,,New piezometer
CROWN,1,,CPT N/A,VW-CN-01,1833539,3006,43363,-0.2657,-0.05916,,-8.45E-10,-0.0002538,2.321411748,8884,24.3,1003.2,8898.5,17.2,,
Z1,1,14,CPT18-18,VW-ZB-02,1833533,16601,43363,-0.262,-0.03848,,-1.22E-09,-0.0002449,2.284380258,8932,23.1,1003.2,8955.4,23,,
Z1,1,15,CPT 18-19,VW-ZC-01,1833537,16725,43363,-0.2526,-0.01906,,-1.22E-09,-0.0002355,2.216679588,8993,23.8,1003.2,9020.9,25.2,,
Z1,1,16,CPT18-33B,VW-ZD-02,1833535,16301,43363,-0.2599,-0.004913,,-1.66E-09,-0.0002431,2.349947914,9101,24,1003.2,9119.6,27,,
Z1,1,16,CPT18-20B,VW-ZD-01,1833538,16546,43363,-0.2685,-0.08668,,-1.16E-09,-0.0002519,2.365041652,9014,23.9,1003.2,9036.7,25.6,,
Y1/Y2,1,17,CPT18-22,VW-Y2-02,1833524,9926,43363,-0.2604,-0.02424,,-1.13E-09,-0.0002444,2.289012152,8992,23.6,993.9,9007.7,17.1,,
Y1/Y2,1,,CPT 18-35,VW-YB-01,1833527,3023,43363,-0.2714,-0.05197,,-1.21E-09,-0.000254,2.402909205,9070,22.8,993.9,9100.9,28.2,,
RDS,3,8-Jul,CPT13 14,VW 31,53950,1876,42361,0.15331,,,-2.82E-07,-0.1504821,910.9769242,5986.6,24,1013,,,,Blurred certificate
RDS,2,8-Jul,CPT13 14,VW 32,53953,1876,42361,0.14798,,,-4.33E-09,-0.1479375,904.4001593,6112.3,24,1013,,,,
RDS,2,8-Jul,CPT15-16,VW 34,53962,1819,42361,0.15415,,,-2.62E-07,-0.151608,890.9649136,5818.3,22,1020,,,,
RDS,1,8-Jul,CPT13 14,VW33,53965,1876,42361,0.15183,,,-5.96E-07,-0.1460385,874.2646035,5847,22,1020,,,,
RDS,4,8-Jul,CPT13 14,VW 30,53968,1876,42361,0.1799,,,-5.30E-07,-0.1741715,1106.783077,6236.2,22,1020,,,,
RDS,5,8-Jul,CPT13 14,VW 29,53973,1876,42361,0.15547,,,-5.72E-07,-0.1498226,904.2419625,5902.4,22,1020,,,,
RDS,3,8-Jul,CPT15-16,VW 37,53974,1819,42361,0.17787,,,-7.34E-07,-0.1857529,1181.810014,6209.8,22,1020,,,,
RDS,4,8-Jul,CPT15-16,VW 36,53975,1819,42361,0.16817,,,-3.63E-08,-0.1685322,982.9309167,5825,22,1020,,,,
RDS,1,8-Jul,CPT15-16,VW 35,53983,1819,42361,0.16253,,,-2.77E-07,-0.1596073,997.5219233,6183.4,22,1020,,,,
RDS,2,8-Jul,CPT18-07,VW-RDS-02,1833519,9548,43363,-0.2578,-0.03389,,-8.40E-10,-0.0002464,2.2203125,8750,24.6,993.9,8755.9,17.4,,
RDS,1,8-Jul,CPT18-30,VW-RDS-01,1833521,9548,43363,-0.2662,-0.04337,,-1.13E-09,-0.0002498,2.376386391,9135,23.7,993.9,9156.5,17.5,,
E1/E2,1,E2-1,,E2-1,64913,20696,43700,,0.18252,0.18914,-3.90E-07,-0.18374,1640.63121,8766,18.6,1015.6,8796.1,32.1,950.7,
E1/E2,1,E2-2,,E2-2,64912,21008,43700,,0.031145,0.19166,-2.94E-07,-0.18761,1660.033149,8729,18.6,1015.6,8767.8,30.8,950.7,
E1/E2,1,E2-3,,E2-3,64911,21024,43700,,0.1519,0.1935,-4.10E-07,-0.18777,1679.998734,8779,18.7,1015.6,8796.6,31.4,950.7,
E1/E2,1,E2-4,,E2-4,64910,20764,43700,,0.17361,0.19025,-2.34E-07,-0.18704,1646.856185,8710,18.7,1015.6,8744.7,28,950.7,
